"specimen_code","species_name"
"STL10208208","Amietina_larrochei__STL10208"
"AmppriUCE","Amphistomus_primonactus_Amppri_UCE"
"STL1009595","Anonychonitis_freyi__STL10095"
"Anop1COL892","Anoplostethus_sp_COL892"
"ApimmST003","Aphodius_immundus_ST003"
"STL10140140","Apotolamprus_aff_ambohitsitondronensi__STL10140"
"STL10197197","Apotolamprus_aff_latipennis__STL10197"
"STL10160160","Apotolamprus_aff_metallicus__STL10160"
"STL10198198","Apotolamprus_aff_sparsepunctatus__STL10198"
"STL10161161","Apotolamprus_perinetensis__STL10161"
"STL10139139","Apotolamprus_quadrimaculatus__STL10139"
"ApquaSTL5006","Apotolamprus_quadrinotatus_STL5006"
"ApospSTL30","Apotolamprus_sp__STL30"
"ApospSTL31","Apotolamprus_sp._morpho_1_STL31"
"STL10146146","Apotolamprus_sp1__STL10146"
"STL10135135","Apotolamprus_vadoni__STL10135"
"STL10325A26AO","Apterepilissus_ovalis__STL10325"
"STL10196196","Arachnodes_aff_metallicus__STL10196"
"STL10194194","Arachnodes_aff_robinsoni__STL10194"
"STL10195195","Arachnodes_aff_saprinoides__STL10195"
"STL10144144","Arachnodes_oberthuri__STL10144"
"ArpusSTL5015","Arachnodes_pusillus__STL5015"
"STL10143143","Arachnodes_saprinoides__STL10143"
"STL10151151","Arachnodes_saprinoides__STL10151"
"STL10216216","Arachnodes_sp__STL10216"
"Arac1STL45","Arachnodes_sp_morpho_2__STL37"
"Arac2STL37","Arachnodes_sp._morpho_1_STL45"
"Arac1STL5012","Arachnodes_sp1__STL5012"
"Arsp2STL5013","Arachnodes_sp2__STL5013"
"STL10218218","Arachnodes_sp3__STL10218"
"Arac4STL5016","Arachnodes_sp4_STL5016"
"STL10217217","Arachnodes_sp5__STL10217"
"STL10200200","Arachnodes_sp6__STL10200"
"STL10201201","Arachnodes_sp7_cf_insularis__STL10201"
"STL1007575","Bohepilissus_sp_sp1__STL10075"
"STL1027958","Bohepilissus_sp1__STL10279"
"STL1026854","Byrrhidium_namaquensis__STL10268"
"STL10300Bino","Caccobius_binodulus__STL10300"
"CaschST001","Caccobius_schereberi_ST001"
"CapauSTL27","Cambefortantus_pauliani__STL27"
"CapauSTL32","Cambefortantus_pauliani__STL32"
"STL10120120","Catharsius_cf_molossus__STL10120"
"Cath1STL10033","Catharsius_sp._STL10033"
"AnconSTL10035","Chalconotus_convexus__STL10035"
"STL1029412702","Chalconotus_convexus__STL10294"
"STL1009696","Cheironitis_scabrosus__STL10096"
"ChrresUCE","Chrysina_resplendens_Chrres_UCE"
"STL1027066","Circellium_bacchus__STL10270"
"STL1009999","Cleptocaccobius_viridicollis__STL10099"
"STL10258COPP","Copridaspidus_peregrinus__STL10258"
"CocinST005","Copris_(Paracopris)_sp._STL10022"
"CogilSTL10028","Copris_fidius_ST005"
"ConevSTL10021","Copris_gilleti__STL10028"
"Copr2STL10022","Copris_nevinsoni__STL10021"
"STL10245A23CD","Copris_sl_diversus__STL10245"
"Cosp2STL10025","Copris_sp2_STL10025"
"CouruSTL10024","Copris_urus__STL10024"
"CopbroUCE","Coptodactyla_brooksi_CopbroUCE"
"STL1003939","Coptorhina_klugii__STL10039"
"STL10112112","Cyptochirus_sp1__STL10112"
"STL1026955","Dicranocara_deschodti__STL10269"
"STL10213213","Digitonthophagus_gazella__STL10213"
"DiodudUCE","Diorygopyx_dudplodentatus_Diodud_UCE"
"DreproSTL10001","Drepanopodus_proximus_STL10001"
"STL1026563a","Dwesasilvasedis_medinae__STL10265"
"STL1004949","Endroedyolus_paradoxus__STL10049"
"Eoph1COL1054","Eophileurus_sp_COL1054"
"STL10134134","Epactoides_aff_Lissus__STL10134"
"STL10163163","Epactoides_aff_major__STL10163"
"STL10158158","Epactoides_aff_Semiaeneus__STL10158"
"STL10145145","Epactoides_femoralis__STL10145"
"EphanSTL29","Epactoides_hanski__STL29"
"STL10192192","Epactoides_jounii__STL10192"
"EpjouSTL33","Epactoides_jounii__STL33"
"EpmajSTL47","Epactoides_major__STL47"
"STL10154154","Epactoides_mangabeensis__STL10154"
"STL10141141","Epactoides_olsoufieffi__STL10141"
"STL10136136","Epactoides_semiaeneus__STL10136"
"Epac1STL5017","Epactoides_sp__STL5017"
"STL10157157","Epactoides_sp2__STL10157"
"STL10162162","Epactoides_sp3__STL10162"
"STL10180180","Epilissus_aff_antoetrae__STL10180"
"STL10184184","Epilissus_aff_morio_group__STL10184"
"STL10187187","Epilissus_aff_planatus__STL10187"
"STL10181181","Epilissus_aff_semilissus__STL10181"
"EpallSTL5009","Epilissus_alluaudi__STL5009"
"EpapoSTL5008","Epilissus_apotolamproides__STL5008"
"EpcupSTL5011","Epilissus_cuprarius_STL5011"
"EpfusSTL5010","Epilissus_fuscovirens__STL5010"
"EpmorSTL5007","Epilissus_morio__STL5007"
"Epil1STL26","Epilissus_sp_morpho_1__STL26"
"Epil2STL48","Epilissus_sp_morpho_2__STL48"
"STL10186186","Epilissus_sp1__STL10186"
"EpsplST008","Epilissus_splendidus_cf_delphinensis__STL10185"
"STL10185185","Epilissus_splendidus_splendidus_ST008"
"EpsilSTL10018","Epirinus_cf.silvestris_STL10018"
"STL10118118","Epirinus_flagellatus__STL10118"
"Epir1STL43","Epirinus_sp._1_STL43"
"STL10132132","Euoniticellus_fulvus__STL10132"
"STL10256Eusap","Eusaproecius_sp1__STL10256"
"STL1032256","Frankenbergerius_armatus__STL10322"
"FrarmSTL10002","Frankenbergerius_armatus_STL10002"
"STL1007777","Garreta_unicolor__STL10077"
"GeopaCOL3920","Geotrupes_opacus_COL3920"
"GesplCOL3901","Geotrupes_splendidus_COL3901"
"GrlupCNCCOLVG00004076","Grebennikovius_lupanganus_sp_n1__CNCCOLVG00004076"
"STL1009797","Gymnopleurus_aenescens__STL10097"
"GypumSTL10003","Gyronotus_pumilus_STL10003"
"STL1004747","Hammondantus_psammophilus__STL10047"
"STL1032151","Hammondantus_psammophilus__STL10321"
"HadepSTL10013","Hamonthophagus_depressus_STL10013"
"STL1026630","Haroldius_sp1__STL10266"
"STL1027384","Haroldius_sp2__STL10273"
"STL10332A19FU","Helictopleurus__cf._Furcicornis_STL10332"
"STL10324A01FF","Helictopleurus__fasciolatus_fasciolatus_STL10324"
"STL10334A02FO","Helictopleurus__fasciolatus_obscurus_STL10334"
"STL10333A03FP","Helictopleurus__fasciolatus_pseudofasciolatus_STL10333"
"STL10327A05NE","Helictopleurus__neuter_STL10327"
"STL10319A13NI","Helictopleurus__nicollei_STL10319"
"STL10329A17PE","Helictopleurus__perrieri_STL10329"
"STL10330A0651","Helictopleurus__sinuatocornis_STL10330"
"STL10331A11UN","Helictopleurus__undatus_STL10331"
"HeaurSTL5025","Helictopleurus_aurocupreus__STL5025"
"STL10250A30CM","Helictopleurus_cambeforti__STL10250"
"STL10249A29CA","Helictopleurus_carbonarius__STL10249"
"STL10211211","Helictopleurus_cf_steineri_n_sp_STL10211"
"STL10209209","Helictopleurus_coruscus__STL10209"
"STL10243A18CR","Helictopleurus_cribricollis__STL10243"
"STL10240A14DO","Helictopleurus_dorbignyi__STL10240"
"STL10234A04FS","Helictopleurus_fasciolatus_suturalis__STL10234"
"HefisSTL28","Helictopleurus_fissicollis__STL28"
"STL10246A24FA","Helictopleurus_fissicollis_australis__STL10246"
"STL10237A09FM","Helictopleurus_fissicollis_morettoi__STL10237"
"STL10168168","Helictopleurus_fulgens__STL10168"
"STL10239A12FP","Helictopleurus_fulgens_purpuricollis__STL10239"
"STL10169169","Helictopleurus_furcicornis__STL10169"
"STL10177177","Helictopleurus_giganteus__STL10177"
"STL10247A25HA","Helictopleurus_hanskii__STL10247"
"HemarSTL5026","Helictopleurus_marsyas__STL5026"
"HeneoSTL5024","Helictopleurus_neoamplicollis_STL5024"
"STL10238A10NI","Helictopleurus_nigricans__STL10238"
"HepeySTL5021","Helictopleurus_peyrierasi__STL5021"
"HepolSTL5029","Helictopleurus_politicollis_STL5029"
"HequaSTL5027","Helictopleurus_quadripunctatus__STL5027"
"STL10173173","Helictopleurus_rudicollis__STL10173"
"STL10242A16SE","Helictopleurus_semivirens__STL10242"
"HesicSTL5019","Helictopleurus_sicardi__STL5019"
"HesicST012","Helictopleurus_sicardi_ST012"
"HesicST013","Helictopleurus_sicardi_ST013"
"STL10248A28NS","Helictopleurus_sp__STL10248"
"STL10214214","Helictopleurus_sp_group_semivirens__STL10214"
"HesplSTL5020","Helictopleurus_splendidicollis__STL5020"
"STL10264A31ST","Helictopleurus_steineri__STL10264"
"HeuniSTL5030","Helictopleurus_unifasciatus__STL5030"
"STL10244A20VA","Helictopleurus_vadoni__STL10244"
"STL10241A15VI","Helictopleurus_viettei__STL10241"
"STL10236A08VP","Helictopleurus_viridans_pseudoviridans__STL10236"
"STL10235A07VV","Helictopleurus_viridans_viridans__STL10235"
"STL1027167","Heliocopris_sp__STL10271"
"STL1029212720","Heliocopris_sp__STL10292"
"HeragSTL10032","Heteronitis_ragazzii_STL10032"
"STL10313DYN","Hexodon_sp1__STL10313"
"STL10311HYBM","Hybosoridae_sp1_Madagascar__STL10311"
"STL10312HYBL","Hybosoridae_sp2_Laos__STL10312"
"HyillCOL4013","Hybosorus_illigeri_COL4013"
"Isch1COL1049","Ischiopsophra_sp_COL1049"
"STL10103103","Janssensantus_cf_inexpectatus__STL10103"
"JaineSTL10222","Janssensantus_cf_inexpectatus__STL10222"
"JaineSTL10221","Janssensantus_cf._inexpectatus_STL10221"
"STL10102102","Janssensantus_mabuensis_n_sp__STL10102"
"KhnigSTL10036","Kheper_nigroaeneus_STL10036"
"STL1004343","Kurtops_signatus__STL10043"
"Lamp1COL544","Lamprima_sp_COL544"
"Lepd1COL629","Lepidiota_sp_COL629"
"STL1029012727","Liatongus_sp__STL10290"
"Lipa1COL4004","Liparochrus_sp_COL4004"
"LimutSTL10027","Litocopris_muticus_STL10027"
"LucapCOL3897","Lucanus_capreolus_COL3897"
"STL1004040","Macroderes_foveatus__STL10040"
"STL1032862","Macroderes_sp1__STL10328"
"STL1029112724","Macronthophagus_diabolicus__STL10291"
"MarborUCE","Marronus_borbonicus_Marbor_UCE"
"STL10318MEGAB","Megalonitis_bohemani__STL10318"
"MeopaSTL10017","Metacatharsius_opacus_STL10017"
"Mesp1STL10007","Metacatharsius_sp1__STL10007"
"Micr1STL10023","Microcopris_sp1_STL10023"
"STL10137137","Nanos_aff_Bicoloratus__STL10137"
"STL10190190","Nanos_aff_humeralis__STL10190"
"STL10189189","Nanos_aff_mirjae__STL10189"
